YYYY,MM,시군구,번지,단지명,area_x,price,floor,birth_year,도로명,age_c,join_key,지역,구,법정동,아파트이름,code,area_y,room,toilet,세대수,건물수,y_c,park,per_park,heat,용적률,건폐율,f_high,f_low,LotAdr,RoadAdr,lati,long
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2016.0,10.0,서울특별시 노원구 하계동,271-3,건영,53.14,27000.0,3.0,1988.0,섬밭로,28.0,서울시 노원구 하계동 271-3 53.14,서울특별시,노원구,하계동,극동.건영.벽산,255.0,53.14,3.0,1.0,1980.0,12.0,1988.0,360.0,0.18,지역난방,231.0,17.0,15.0,15.0,서울시 노원구 하계동 271-3,서울시 노원구 섬밭로 229,37.63561,127.064282
2015.0,9.0,서울특별시 동작구 대방동,506,현대홈타운2,59.89,37400.0,13.0,1999.0,알마타길,16.0,서울시 동작구 대방동 506 59.89,서울특별시,동작구,대방동,대방현대2차,1133.0,59.89,2.0,1.0,278.0,5.0,1999.0,349.0,1.25,개별난방,245.0,21.0,19.0,8.0,서울시 동작구 대방동 506,서울시 동작구 알마타길 58,37.51117,126.93146999999999
2013.0,4.0,서울특별시 은평구 진관동,20,은평뉴타운상림마을(롯데캐슬A-12),84.79,46500.0,6.0,2008.0,진관3로,5.0,서울시 은평구 진관동 20 84.79,서울특별시,은평구,진관동,은평뉴타운상림12단지롯데캐슬,26297.0,84.79,3.0,2.0,551.0,10.0,2008.0,658.0,1.19,지역난방,164.0,26.0,14.0,7.0,서울시 은평구 진관동 20,,37.642293,126.922458
2013.0,12.0,서울특별시 동작구 사당동,303-109,씨티뷰2차,93.65,25500.0,2.0,2004.0,남부순환로255길,9.0,서울시 동작구 사당동 303-109 93.65,서울특별시,동작구,사당동,시티뷰2차,23296.0,93.65,3.0,2.0,18.0,1.0,2004.0,29.0,1.61,개별난방,215.0,26.0,9.0,9.0,서울시 동작구 사당동 303-109,서울시 동작구 남부순환로255길 19-1,37.476802,126.97010800000001
2017.0,11.0,서울특별시 강서구 내발산동,657,우장산힐스테이트,84.98,83900.0,11.0,2005.0,강서로,12.0,서울시 강서구 내발산동 657 84.98,서울특별시,강서구,내발산동,우장산힐스테이트,11337.0,84.98,3.0,2.0,2198.0,40.0,2005.0,2780.0,1.26,개별난방,267.0,20.0,21.0,15.0,서울시 강서구 내발산동 657,서울시 강서구 강서로 348,37.556255,126.840704
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2019.0,10.0,서울특별시 성북구 정릉동,239,정릉풍림아이원,84.09,45000.0,2.0,2005.0,솔샘로25길 28,14.0,서울시 성북구 정릉동 239 84.09,서울특별시,성북구,정릉동,정릉풍림아이원,3426.0,84.09,3.0,2.0,1971.0,28.0,2005.0,2366.0,1.2,개별난방,256.0,22.0,20.0,13.0,서울시 성북구 정릉동 239,서울시 성북구 솔샘로25길 28,37.618862,127.007175
2015.0,10.0,서울특별시 광진구 광장동,484,현대3,59.67,43000.0,3.0,1990.0,아차산로70길,25.0,서울시 광진구 광장동 484 59.67,서울특별시,광진구,광장동,광장현대3단지,74.0,59.67,2.0,1.0,1056.0,10.0,1990.0,512.0,0.48,개별난방,249.0,17.0,21.0,15.0,서울시 광진구 광장동 484,서울시 광진구 아차산로70길 62,37.540702,127.098828
2013.0,4.0,서울특별시 강동구 둔촌동,170-1,둔촌주공1단지,88.26,74000.0,5.0,1980.0,양재대로,33.0,서울시 강동구 둔촌동 170-1 88.26,서울특별시,강동구,둔촌동,주공저층1단지,1299.0,88.26,3.0,2.0,1370.0,47.0,1980.0,959.0,0.7,중앙난방,,,5.0,5.0,서울시 강동구 둔촌동 170-1,서울시 강동구 양재대로 1340,37.52732,127.139752
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2017.0,12.0,서울특별시 성북구 하월곡동,88-64,성북힐스테이트(101동),101.97,50000.0,18.0,2007.0,동소문로44길,10.0,서울시 성북구 하월곡동 88-64 101.97,서울특별시,성북구,하월곡동,성북힐스테이트,18699.0,101.97,3.0,2.0,285.0,2.0,2007.0,319.0,1.11,개별난방,661.0,47.0,24.0,15.0,서울시 성북구 하월곡동 88-64,서울시 성북구 동소문로44길 43,37.606514000000004,127.03052199999999
